URL,StatusCode,Lang,,,Приоритет проверки:
https://1xbet.et/en/promo,200,en,,,
https://1xbet.et/en/registration,200,en,,,
https://1xbet.et/en/slots,200,en,,,
https://1xbet.et/en/user/login,200,en,,,
https://1xbet.ie/en,200,en,,,
https://1xbet.ie/en/allgamesentrance,200,en,,,
https://1xbet.ie/en/allgamesentrance/crash,200,en,,,
https://1xbet.ie/en/allgamesentrance/spinandwin,200,en,,,
https://1xbet.ie/en/allgamesentrance/vikings,200,en,,,
https://1xbet.ie/en/bonus/rules/1st,200,en,,,
https://1xbet.ie/en/casino,200,en,,,
https://1xbet.ie/en/line,200,en,,,
https://1xbet.ie/en/line/basketball,200,en,,,
https://1xbet.ie/en/line/cricket,200,en,,,
https://1xbet.ie/en/line/football,200,en,,,
https://1xbet.ie/en/line/football/2718323-olympic-summer-games-2024,200,en,,,
https://1xbet.ie/en/line/horse-racing,200,en,,,
https://1xbet.ie/en/line/ice-hockey,200,en,,,
https://1xbet.ie/en/line/table-tennis,200,en,,,
https://1xbet.ie/en/line/volleyball,200,en,,,
https://1xbet.ie/en/live,200,en,,,
https://1xbet.ie/en/live/basketball,200,en,,,
https://1xbet.ie/en/live/cricket,200,en,,,
https://1xbet.ie/en/live/football,200,en,,,
https://1xbet.ie/en/live/horse-racing,200,en,,,
https://1xbet.ie/en/live/ice-hockey,200,en,,,
https://1xbet.ie/en/live/table-tennis,200,en,,,
https://1xbet.ie/en/live/volleyball,200,en,,,
https://1xbet.ie/en/mobile,200,en,,,
https://1xbet.ie/en/promo,200,en,,,
https://1xbet.ie/en/registration,200,en,,,
https://1xbet.ie/en/slots,200,en,,,
https://1xbet.ie/en/user/login,200,en,,,
https://1xbet.mobi/en,200,en,,,
https://1xbet.mobi/en/allgamesentrance,200,en,,,
https://1xbet.mobi/en/allgamesentrance/crash,200,en,,,
https://1xbet.mobi/en/allgamesentrance/spinandwin,200,en,,,
https://1xbet.mobi/en/allgamesentrance/vikings,200,en,,,
https://1xbet.mobi/en/bonus/rules/1st,200,en,,,
https://1xbet.mobi/en/casino,200,en,,,
https://1xbet.mobi/en/line,200,en,,,
https://1xbet.mobi/en/line/basketball,200,en,,,
https://1xbet.mobi/en/line/cricket,200,en,,,
https://1xbet.mobi/en/line/football,200,en,,,
https://1xbet.mobi/en/line/football/2718323-olympic-summer-games-2024,200,en,,,
https://1xbet.mobi/en/line/horse-racing,200,en,,,
https://1xbet.mobi/en/line/ice-hockey,200,en,,,
https://1xbet.mobi/en/line/table-tennis,200,en,,,
